,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
1286,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 1899 1 L booking amount,No
1287,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 28.99 L,New,Possession by Dec 1899 1 L booking amount,No
1288,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 1899 1 L booking amount,No
1289,"Residential PlotSontyam Village, Visakhapatnam",shiv shakthi townships,"Sontyam Village, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1290,"Residential PlotSontyam Village, Visakhapatnam",shiv shakthi townships,"Sontyam Village, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1291,"Residential PlotSontyam Village, Visakhapatnam",shiv shakthi townships,"Sontyam Village, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1292,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 1899 1 L booking amount,No
1293,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 28.99 L,New,Possession by Dec 1899 1 L booking amount,No
1294,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 1899 1 L booking amount,No
1295,"Residential PlotSontyam Village, Visakhapatnam",shiv shakthi townships,"Sontyam Village, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1296,"Residential PlotSontyam Village, Visakhapatnam",shiv shakthi townships,"Sontyam Village, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1297,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 1899 1 L booking amount,No
1298,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 28.99 L,New,Possession by Dec 1899 1 L booking amount,No
1299,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 1899 1 L booking amount,No
1300,"Residential PlotSontyam Village, Visakhapatnam",shiv shakthi townships,"Sontyam Village, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1301,"Residential PlotSontyam Village, Visakhapatnam",shiv shakthi townships,"Sontyam Village, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1302,"Residential PlotSontyam Village, Visakhapatnam",shiv shakthi townships,"Sontyam Village, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1303,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 1899 1 L booking amount,No
1304,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1305,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1306,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1307,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1308,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1309,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1310,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1311,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1312,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1313,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1314,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1315,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1316,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1317,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1318,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1319,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1320,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1321,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1322,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1323,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1324,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1325,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1326,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1327,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1328,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1329,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1330,"Residential Plot in Amrutha GrandKothavalasa Vizianagaram Road, Visakhapatnam",property advisor,"Kothavalasa Vizianagaram Road, Visakhapatnam",5200 ,807 / sq ft, 42 L,New,Possession by Dec 18992 open sides 5 L booking amount,No
1331,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1332,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1333,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",Sivashakthi Townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1334,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1335,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",2403 ,"1,611 / sq ft", 38.71 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1336,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1800 ,"1,611 / sq ft", 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1337,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",shiv shakthi townships,"Sontyam, Visakhapatnam",1503 ,"1,611 / sq ft", 24.21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
1338,"Residential Plot in Sunshine valleyKothavalasa, Visakhapatnam",Rajesh,"Kothavalasa, Visakhapatnam",999 ,555 / sq ft, 5.55 L,New,"2 open sides 50,000 booking amountFreehold ownership",No
1339,"2 BHK Apartment in RK Simhadri NagarGajuwaka, Visakhapatnam",Roopkanth Bisoi,"Gajuwaka, Visakhapatnam",1050 ,"3,047 / sq ft", 32 L,Ready to move,2 Bathrooms2nd of 4floorNew ,No
1340,"2 BHK Apartment in Honeyy sreenivasam 38Gajuwaka, Visakhapatnam",Sita Pyla,"Gajuwaka, Visakhapatnam",950 ,"3,157 / sq ft", 30 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 3floor,No
1341,"2 BHK ApartmentKurmannapalem, Visakhapatnam",suriapparao,"Kurmannapalem, Visakhapatnam",1000 ,"4,000 / sq ft", 40 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 5floor,No
1342,"3 BHK Villa in Baskar avenueLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Under Construction,Possession by Dec 20223 BathroomsNew ,No
1343,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1344,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Shiva,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Dec 20222 BathroomsNew ,No
1345,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Shiva,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1346,"2 BHK Apartment in Murari EnclaveGajuwaka, Visakhapatnam",Shiva,"Gajuwaka, Visakhapatnam",1150 ,"5,300 / sq ft", 60.95 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
1347,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Shiva,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 5floor,No
1348,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Shiva,"Kurmannapalem, Visakhapatnam",1060 ,"3,773 / sq ft", 40 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
1349,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1350,"Residential Plot in DSDBhogapuram Road, Visakhapatnam",DHARANI SIRI DEVELOPERS,"Bhogapuram Road, Visakhapatnam",1800 ,"1,111 / sq ft", 20 L,New,1 - 2 years old 2 L booking amountNorthEast facing,No
1351,"Residential Plot in Utkarsha ParadiseBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1500 ,"1,466 / sq ft", 22 L,New,1 open sides 1 L booking amountWest facing,No
1352,"Residential Plot in golden city2Anandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1500 ,"1,733 / sq ft", 26 L,New,1 open sides 2 L booking amountNorth facing,No
1353,"Residential Plot in Utkarsha ParadiseBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1502 ,"1,331 / sq ft", 20 L,New,1 open sides 2 L booking amountWest facing,No
1354,"Residential Plot in Legend KanakMamidilova, Visakhapatnam",property advisor,"Mamidilova, Visakhapatnam",1820 ,"1,978 / sq ft", 36 L,New,1 open sides 2 L booking amountNorth facing,No
1355,"Residential Plot in Amitha Oka GardensTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1802 ,832 / sq ft, 15 L,New,1 open sides 1 L booking amountNorth facing,No
1356,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1802 ,"1,220 / sq ft", 22 L,New,1 open sides 1 L booking amountNorth facing,No
1357,"Residential Plot in the golden cityAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1802 ,"1,997 / sq ft", 36 L,New,1 open sides 2 L booking amountNorth facing,No
1358,"Residential Plot in Siri Venkateswara Nandanavanam SreshtaAchutapuram, Visakhapatnam",RAJESH GEDELA,"Achutapuram, Visakhapatnam",1800 ,988 / sq ft, 17.8 L,New,4 open sides 1 L booking amountWest facing,No
1359,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1200 ,"2,083 / sq ft", 25 L,New,1 open sides 2 L booking amountWest facing,No
1360,"Residential Plot in capital townshipTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1200 ,"1,833 / sq ft", 22 L,New,1 open sides 1 L booking amountWest facing,No
1361,"Residential Plot in Siri Venkateswara Nandanavanam SreshtaAchutapuram, Visakhapatnam",RAJESH GEDELA,"Achutapuram, Visakhapatnam",1800 ,988 / sq ft, 17.8 L,New,4 open sides 1 L booking amountWest facing,No
1362,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Venkat,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 5floor,No
1363,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Venkat,"Kurmannapalem, Visakhapatnam",1060 ,"3,700 / sq ft", 39.22 L,Under Construction,Possession by Nov 20222 Bathrooms3rd of 5floor,No
1364,"3 BHK Villa in Baskar avenueLankelapalem, Visakhapatnam",Venkat,"Lankelapalem, Visakhapatnam",920 ,"4,130 / sq ft", 38 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1365,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Venkat,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1366,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Venkat,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
1367,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Venkat,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1368,"2 BHK Villa in Royal EmpireDuvvada Sabbavaram Road, Visakhapatnam",Venkat,"Duvvada Sabbavaram Road, Visakhapatnam",1100 ,"4,363 / sq ft", 48 L,Under Construction,Possession by Dec 20222 BathroomsNew ,No
1369,"3 BHK Apartment in yashitha royalKurmannapalem, Visakhapatnam",Venkat,"Kurmannapalem, Visakhapatnam",1260 ,"2,936 / sq ft", 37 L,Ready to move,1 - 2 years old2 Bathrooms4th of 4floor,No
1370,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",2600 ,"1,538 / sq ft", 40 L,New,1 open sides 1 L booking amountNorthEast facing,No
1371,"Residential Plot in golden wavesTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2600 ,"1,038 / sq ft", 27 L,New,1 open sides 1 L booking amountNorth facing,No
1372,"Residential Plot in smartcity venturesTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2600 ,"1,346 / sq ft", 35 L,New,1 open sides 1 L booking amountNorth facing,No
1373,"2 BHK Apartment in Honeyy construction hrLankelapalem, Visakhapatnam",lovaraju mamidi,"Lankelapalem, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Under Construction,Possession by Mar 20232 Bathrooms2nd of 5floor,No
1374,"2 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",vishu,"Achutapuram, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Under Construction,Possession by Dec 20242 Bathrooms3rd of 5floor,Yes
1375,"2 BHK Apartment in Reputed Builder Sai BharathiMadhurawada, Visakhapatnam",smart homes,"Madhurawada, Visakhapatnam",1000 ,"4,500 / sq ft", 45 L,Under Construction,2 Bathrooms5th of 5floorNew ,Yes
1376,"2 BHK Apartment in Navadeep HeavenPeda Narava, Visakhapatnam",pujitha,"Peda Narava, Visakhapatnam",1000 ,"3,300 / sq ft", 33 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 4floor,No
1377,"2 BHK Apartment in Honeyy srinivasamAchutapuram, Visakhapatnam",lovaraju mamidi,"Achutapuram, Visakhapatnam",1300 ,"1,923 / sq ft", 25 L,Under Construction,Possession by Mar 20232 Bathrooms2nd of 5floor,No
1378,"2 BHK Apartment in Coastal Aspen ClassicGajuwaka, Visakhapatnam",pujitha,"Gajuwaka, Visakhapatnam",1000 ,"3,900 / sq ft", 39 L,Ready to move,2 - 3 years old2 BathroomsResale ,No
1379,"2 BHK Apartment in Avk cherismaMadhurawada, Visakhapatnam",new living,"Madhurawada, Visakhapatnam",926 ,"4,967 / sq ft", 46 L,Ready to move,1 - 2 years old2 Bathrooms1st of 5floor,No
1380,"2 BHK Apartment in Varsini enclaveMadhurawada, Visakhapatnam",new living,"Madhurawada, Visakhapatnam",1000 ,"4,400 / sq ft", 44 L,Ready to move,1 - 2 years old2 Bathrooms1st of 4floor,No
1381,"3 BHK Apartment in Sri Sai sampath enclaveMadhurawada, Visakhapatnam",new living,"Madhurawada, Visakhapatnam",1330 ,"4,285 / sq ft", 57 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 5floor,No
1382,"3 BHK Apartment in Sree Balaji residency hpclPothinamallayya Palem, Visakhapatnam",new living,"Pothinamallayya Palem, Visakhapatnam",1250 ,"4,800 / sq ft", 60 L,Ready to move,0 - 1 year old2 Bathrooms2nd of 5floor,No
1383,"3 BHK Apartment in YTY PrimeMadhurawada, Visakhapatnam",new living,"Madhurawada, Visakhapatnam",1465 ,"4,163 / sq ft", 61 L,Ready to move,1 - 2 years old3 Bathrooms2nd of 5floor,No
1384,"2 BHK Apartment in Sai Krishna nivadMadhurawada, Visakhapatnam",new living,"Madhurawada, Visakhapatnam",1275 ,"4,392 / sq ft", 56 L,Ready to move,1 - 2 years old2 Bathrooms4th of 5floor,No
1385,"2 BHK Apartment in Sona Sri graniarRevallapalem Road, Visakhapatnam",new living,"Revallapalem Road, Visakhapatnam",1000 ,"3,500 / sq ft", 35 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 3floor,No
1386,"2 BHK Apartment in BHAVANI HILLSPothinamallayya Palem, Visakhapatnam",new living,"Pothinamallayya Palem, Visakhapatnam",900 ,"4,000 / sq ft", 36 L,Ready to move,1 - 2 years old2 Bathrooms4th of 5floor,No
1387,"3 BHK Apartment in BrundhavanamPothinamallayya Palem, Visakhapatnam",new living,"Pothinamallayya Palem, Visakhapatnam",2269 ,"4,896 / sq ft", 1.11 Cr,Under Construction,Possession by Jun 20223 Bathrooms3rd of 5floor,No
1388,"2 BHK Apartment in Sri Mahalakshmi Sai Priya EnclaveSujatha Nagar, Visakhapatnam",Sowjanya,"Sujatha Nagar, Visakhapatnam",1000 ,"3,700 / sq ft", 37 L,Under Construction,Possession by Jun 20222 Bathrooms2nd of 5floor,Yes
1389,"2 BHK Apartment in Ambience CityMadhurawada, Visakhapatnam",Sowjanya,"Madhurawada, Visakhapatnam",1000 ,"3,700 / sq ft", 37 L,Under Construction,2 Bathrooms2nd of 5floorNew ,Yes
1390,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1391,"3 BHK Villa in Baskar avenueLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",920 ,"5,217 / sq ft", 48 L,Ready to move,1 - 2 years old3 BathroomsNew ,No
1392,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
1393,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Shiva,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Dec 20222 BathroomsNew ,No
1394,"2 BHK Independent House in Lohitha VillasDuvvada, Visakhapatnam",Shiva,"Duvvada, Visakhapatnam",1857 ,"3,231 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
1395,"2 BHK Apartment in Murari EnclaveGajuwaka, Visakhapatnam",Shiva,"Gajuwaka, Visakhapatnam",1150 ,"5,300 / sq ft", 60.95 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
1396,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Shiva,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 5floor,No
1397,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Shiva,"Kurmannapalem, Visakhapatnam",1060 ,"3,773 / sq ft", 40 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
1398,"3 BHK Apartment in Sai Sampath VvSheela Nagar, Visakhapatnam",Shiva,"Sheela Nagar, Visakhapatnam",1400 ,"4,500 / sq ft", 63 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 5floor,No
1399,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",TAS financial services,"Tagarapuvalasa, Visakhapatnam",2754 ,"1,445 / sq ft", 39.8 L,Resale,2 open sides 7.96 L booking amountWest facing,No
1400,"Residential Plot in Akshya vencherKothavalasa, Visakhapatnam",Rajesh,"Kothavalasa, Visakhapatnam",1800 ,722 / sq ft, 13 L,New,1 - 2 years old2 open sides 2 L booking amount,No
1401,"2 BHK Apartment in Honeyy sreenivasam 31Gajuwaka, Visakhapatnam",UTTAMKUMAR,"Gajuwaka, Visakhapatnam",830 ,"3,493 / sq ft", 29 L,Under Construction,Possession by Jan 20232 Bathrooms2nd of 3floor,No
1402,"2 BHK Apartment in Honeyy sreenivasam 38Gajuwaka, Visakhapatnam",UTTAMKUMAR,"Gajuwaka, Visakhapatnam",830 ,"3,373 / sq ft", 28 L,Under Construction,Possession by Oct 20232 Bathrooms2nd of 3floor,No
1403,"2 BHK Apartment in Honeyy Sreenivasam 09Achutapuram, Visakhapatnam",UTTAMKUMAR,"Achutapuram, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Under Construction,Possession by Oct 20232 Bathrooms2nd of 5floor,No
1404,"3 BHK Apartment in Honeyy Sreenivasam 34Murali Nagar, Visakhapatnam",UTTAMKUMAR,"Murali Nagar, Visakhapatnam",1800 ,"6,200 / sq ft", 1.11 Cr,Under Construction,Possession by Nov 20233 Bathrooms2nd of 5floor,No
1405,"3 BHK Apartment in Honeyy sreenivasam 25Lankelapalem, Visakhapatnam",UTTAMKUMAR,"Lankelapalem, Visakhapatnam",1590 ,"2,830 / sq ft", 45 L,Under Construction,Possession by Aug 20233 Bathrooms2nd of 5floor,No
1406,"2 BHK Apartment in Karthik pranav residencyPMPalem, Visakhapatnam",smart homes,"PMPalem, Visakhapatnam",1050 ,"4,390 / sq ft", 46.1 L,Under Construction,Possession by Feb 20232 Bathrooms4th of 5floor,No
1407,"2 BHK Apartment in Bhavani hillsPM Palem Main, Visakhapatnam",smart homes,"PM Palem Main, Visakhapatnam",900 ,"4,111 / sq ft", 37 L,Ready to move,0 - 1 year old2 Bathrooms4th of 5floor,No
