,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
2702,"2 BHK Apartment in Sai Srinivasa Royal homes constructionKommadi Road, Visakhapatnam",parvathi,"Kommadi Road, Visakhapatnam",1116 ,"4,579 / sq ft", 51.1 L,Under Construction,Possession by Oct 20222 Bathrooms5th of 5floor,No
2703,"2 BHK Apartment in Sri Surya bharathiPothinamallayya Palem, Visakhapatnam",smart homes,"Pothinamallayya Palem, Visakhapatnam",1000 ,"4,400 / sq ft", 44 L,Under Construction,Possession by Oct 20222 Bathrooms3rd of 5floor,No
2704,"2 BHK Apartment in Swami residencyMadhurawada, Visakhapatnam",parvathi,"Madhurawada, Visakhapatnam",1235 ,"4,961 / sq ft", 61.28 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 5floor,No
2705,"3 BHK Apartment in Sai parvathi homesPMPalem, Visakhapatnam",parvathi,"PMPalem, Visakhapatnam",1250 ,"4,760 / sq ft", 59.5 L,Under Construction,Possession by Oct 20243 Bathrooms2nd of 5floor,No
2706,"3 BHK Apartment in Sree sai durga homesPMPalem, Visakhapatnam",parvathi,"PMPalem, Visakhapatnam",1440 ,"4,624 / sq ft", 66.59 L,Ready to move,1 - 2 years old3 Bathrooms1st of 5floor,No
2707,"3 BHK Apartment in Coastal Aspen ClassicGajuwaka, Visakhapatnam",Santhosh kumar,"Gajuwaka, Visakhapatnam",1350 ,"3,407 / sq ft", 46 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
2708,"2 BHK Apartment in Honeyy group sai grandGajuwaka, Visakhapatnam",Santhosh kumar,"Gajuwaka, Visakhapatnam",1110 ,"3,423 / sq ft", 38 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
2709,"2 BHK Apartment in Sree nivasam anakapalliAnakapalle, Visakhapatnam",Neelu Neelima,"Anakapalle, Visakhapatnam",1000 ,"2,980 / sq ft", 29.8 L,Under Construction,Possession by Mar 20242 Bathrooms3rd of 5floor,No
2710,"2 BHK Apartment in Aditya ResidencePMPalem, Visakhapatnam",skml Group,"PMPalem, Visakhapatnam",900 ,"4,444 / sq ft", 40 L,Under Construction,Possession by Jun 20222 Bathrooms4th of 5floor,No
2711,"2 BHK Apartment in Sree nivasam gajuwakaGajuwaka, Visakhapatnam",Neelu Neelima,"Gajuwaka, Visakhapatnam",900 ,"2,444 / sq ft", 22 L,Under Construction,Possession by May 20242 Bathrooms3rd of 5floor,No
2712,"3 BHK Apartment in Coastal Aspen ClassicGajuwaka, Visakhapatnam",honeyy group,"Gajuwaka, Visakhapatnam",1280 ,"3,281 / sq ft", 42 L,Ready to move,1 - 2 years old3 Bathrooms2nd of 5floor,No
2713,"3 BHK Apartment in Sameera heightsKurmannapalem, Visakhapatnam",madhu,"Kurmannapalem, Visakhapatnam",1460 ,"3,767 / sq ft", 55 L,Ready to move,1 - 2 years old3 Bathrooms2nd of 5floor,No
2714,"2 BHK Apartment in Honeyy srinivasam 25Lankelapalem, Visakhapatnam",murthy,"Lankelapalem, Visakhapatnam",1000 ,"2,160 / sq ft", 21.6 L,Under Construction,Possession by Feb 20252 Bathrooms2nd of 5floor,No
2715,"3 BHK Apartment in Indira builders and constructionsNSTL, Visakhapatnam",Indra,"NSTL, Visakhapatnam",1850 ,"6,486 / sq ft", 1.2 Cr,Ready to move,1 - 2 years old3 Bathrooms3rd of 5floor,No
2716,"2 BHK Apartment in Sri sai resistanceMadhurawada, Visakhapatnam",skml Group,"Madhurawada, Visakhapatnam",850 ,"4,235 / sq ft", 36 L,Ready to move,5 - 6 years old2 Bathrooms1st of 5floor,No
2717,"2 BHK Apartment in MVV And MK MVV & MK ParkKurmannapalem, Visakhapatnam",raju,"Kurmannapalem, Visakhapatnam",1365 ,"1,899 / sq ft", 25.93 L,Under Construction,Possession by Jun 20232 Bathrooms8th of 10floor,Yes
2718,"2 BHK Apartment in DVS Sri Lalitha ResidencyMadhurawada, Visakhapatnam",pmahesh babu,"Madhurawada, Visakhapatnam",1000 ,"3,700 / sq ft", 37 L,Ready to move,2 - 3 years old2 Bathrooms1st of 5floor,No
